company_no,company_id,name,legal_form(if known),website,phone,whatsapp,telegram,vk,email,address,showroom_flag,production_flag,source_url,last_checked_date,search_rank,search_query_first_seen,search_queries_matched,rubrics,org_name,branch_count,rating,review_count,marketplace_links,status
11,70000001022606200,Крафтовые кухни,,http://kuhni061.ru,+79281889049,,,,,"улица Ерёменко, 89Б",1,1,https://2gis.ru/rostov-on-don/firm/70000001022606200,2026-02-19,2,фабрика кухонь,фабрика кухонь,Мебель для кухни; Мебель на заказ,"Крафтовые кухни, фабрика кухонь",1,1,1,,ok
12,70000001034932074,Моя мебель,,,+79045025250,,,,,"улица Текучёва, 139а",1,0,https://2gis.ru/rostov-on-don/firm/70000001034932074,2026-02-19,2,салон кухонь,салон кухонь,Мебель на заказ; Мебель для кухни; Детская мебель; Корпусная мебель,"Моя мебель, салон",1,,0,,ok
13,70000001035333613,Много Мебели,,http://mnogomebeli.com/?utm_campaign=rostov_on_don&utm_source=2gis; https://ok.ru/group/54057515483235; https://t.me/mnogomebeliofficial; https://vk.com/mnogomebeliclub,+74951506633; +79289048914,,https://t.me/mnogomebeliofficial,https://vk.com/mnogomebeliclub,,"Михаила Нагибина проспект, 17",1,0,https://2gis.ru/rostov-on-don/firm/70000001035333613,2026-02-19,2,корпусная мебель,корпусная мебель,Мебельные магазины; Мягкая мебель; Корпусная мебель,"Много Мебели, мебельная компания",6,4.8,473,,ok
14,70000001044343466,Vito,,http://t.me/vito_mebel; http://vitomebel.ru; https://t.me/+79604643344; https://vk.com/vito_mebel; https://wa.me/79094004057?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79094004057; +79604643344,https://wa.me/79094004057?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,http://t.me/vito_mebel; https://t.me/+79604643344,https://vk.com/vito_mebel,,"улица Вавилова, 62в",1,0,https://2gis.ru/rostov-on-don/firm/70000001044343466,2026-02-19,2,производство кухонь,изготовление кухонь; корпусная мебель; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; мебель на заказ; модульные кухни; производитель кухонь; производство кухонь; шкафы и кухни на заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни,"Vito, студия мебели",2,4.3,4,,ok
15,70000001047957048,Идея,,,,,,,,"Шолохова проспект, 26",1,0,https://2gis.ru/rostov-on-don/firm/70000001047957048,2026-02-19,2,кухонный салон,кухонный салон,Мебельные магазины; Мебель на заказ; Корпусная мебель; Мебель для кухни,"Идея, кухонный салон",1,1,2,,ok
16,70000001057312829,Posiju,,http://posiju.ru; http://professional.posiju.ru; https://vk.com/posiju_ru; https://wa.me/79381456111?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79381456111,https://wa.me/79381456111?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,https://vk.com/posiju_ru,,"улица Нансена, 239",1,0,https://2gis.ru/rostov-on-don/firm/70000001057312829,2026-02-19,2,дизайнерские кухни,дизайнерские кухни; изготовление кухонь; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; мебель на заказ; модульные кухни; производитель кухонь,Мягкая мебель; Мебель для кухни; Мебель на заказ,"Posiju, шоурум дизайнерской мебели",1,5,3,,ok
17,70000001059875420,Кухонный двор,,http://kd-kuhni.ru/?utm_source=2gis_Rostov_Krasnoarmeiskaya; https://ok.ru/kukhonnydv; https://pinterest.com/kdkuhni; https://t.me/kuhdvor_region; https://vk.com/kuxdvorregions,+78005503263,,https://t.me/kuhdvor_region,https://vk.com/kuxdvorregions,info@kd-kuhni.ru,"Красноармейская улица, 103",1,0,https://2gis.ru/rostov-on-don/firm/70000001059875420,2026-02-19,2,мебель для кухни,изготовление кухонь; корпусная мебель; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; мебель на заказ; модульные кухни; производитель кухонь; шкафы и кухни на заказ,Мебельные магазины; Мебель для кухни; Корпусная мебель; Мебель на заказ,Кухонный двор,1,5,4,,ok
18,70000001069263214,Гудини,,http://gudiny.ru; https://t.me/mebel_gudini; https://vk.com/gudini_mebel; https://wa.me/79896333272?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79896333272,https://wa.me/79896333272?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/mebel_gudini,https://vk.com/gudini_mebel,kuhni-gudini@yandex.ru,"Михаила Нагибина проспект, 30л",1,0,https://2gis.ru/rostov-on-don/firm/70000001069263214,2026-02-19,2,кухни на заказ,изготовление кухонь; кухни на заказ; кухни под заказ; мебель на заказ; шкафы и кухни на заказ,Мебель для кухни; Мебель на заказ; Корпусная мебель; Офисная мебель; Мебель для ванных комнат; Детская мебель,"Гудини, мастерская",3,5,2,,ok
19,70000001088091020,Максидом,,http://maxidom.ru/?utm_medium=cpc&utm_source=2gis; https://ok.ru/maxidom; https://t.me/maxidom; https://vk.com/maxidom; https://youtube.com/@maxidomtv3872,+78633088895,,https://t.me/maxidom,https://vk.com/maxidom,https://youtube.com/@maxidomtv3872,"улица Малиновского, 23 к1",1,0,https://2gis.ru/rostov-on-don/firm/70000001088091020,2026-02-19,2,фасады для кухни,изготовление кухонь; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; модульные кухни; производитель кухонь; фасады для кухни; шкафы и кухни на заказ; элитные кухни,"Строительные гипермаркеты; Сантехника; Напольные покрытия; Бытовая химия; Посуда; Садовый инвентарь; Электротехника; Сухие строительные смеси; Герметики и клеи; Светотехника; Замки и скобяные изделия; Слесарно-монтажный инструмент; Погонажные изделия; Бензоинструмент; Подарочная упаковка; Декоративные отделочные материалы; Новогодние товары; Игрушки; Детская мебель; Цемент; Пластиковая мебель; Товары для бань и саун; Строительное оборудование; Интерьерные лестницы; Гидроизоляционные материалы; Пило- и лесоматериалы; Кровельные материалы; Окна; Мебельная фурнитура; Офисная мебель; Зоотовары; Семена и посадочный материал; Домашний текстиль; Оборудование для очистки воды; Насосное оборудование; Товары для отопления, водоснабжения, канализации; Электроизоляционные материалы; Товары для туризма и отдыха; Тротуарная плитка; Мягкая мебель; Мебель для кухни; Порошковые краски; Мебель для ванных комнат; Кабель и провод; Мебельные фасады; Плетёные изделия; Крепёж; Входные двери; Межкомнатные двери","Максидом, гипермаркет",1,4.5,19,,ok
20,70030076130090835,Элитная улица,,,,,,,,,0,0,https://2gis.ru/rostov-on-don/firm/70030076130090835,2026-02-19,2,элитные кухни,элитные кухни,,,1,,0,,ok
21,3378228001568214,Эпоха декора,,http://decor-rostov.ru/contact; https://wa.me/79289677066?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,https://wa.me/79289677066?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,,,,0,0,https://2gis.ru/rostov-on-don/firm/3378228001568214,2026-02-19,3,элитные кухни,изготовление кухонь; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; модульные кухни; производитель кухонь; фасады для кухни; элитные кухни,Декоративные отделочные материалы; Карнизы; Фасадные материалы и конструкции; Мебель для кухни; Керамогранит,"Эпоха декора, магазин лепного декора",1,,0,,ok
22,3378228001568293,Фабрика Stilnoy мебели,,http://xn--80aacbtbrbdgioeknq1avt6a2p.xn--p1ai; https://wa.me/79282299452?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79282299452,https://wa.me/79282299452?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,,,,"Красноармейская улица, 142",1,1,https://2gis.ru/rostov-on-don/firm/3378228001568293,2026-02-19,3,фабрика кухонь,мебель на заказ; фабрика кухонь; шкафы и кухни на заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель; Изделия из камня для помещений; Мягкая мебель,"Фабрика Stilnoy мебели, мастерская интерьера",1,,0,,ok
23,70000001032492711,Кухни Экспресс,,http://www.kuhni-express.ru; https://t.me/kuhni_express1; https://vk.com/kupitkuhnu; https://wa.me/79229910017?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+78005500727; +78632981488; +79185581488,https://wa.me/79229910017?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/kuhni_express1,https://vk.com/kupitkuhnu,,"улица Малиновского, 23а",1,0,https://2gis.ru/rostov-on-don/firm/70000001032492711,2026-02-19,3,кухонный салон,изготовление кухонь; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; кухонный салон; мебель для кухни; мебель на заказ; модульные кухни; производитель кухонь; салон кухонь,Мебельные магазины; Мебель для кухни; Мебель на заказ,"Кухни Экспресс, салон кухонной мебели",2,4.7,123,,ok
24,70000001034599977,Кухни для Кухни,,http://jivo.chat/kgIiljV38d; http://www.kdk161.ru; https://t.me/+79613015535; https://wa.me/79613015535?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+78633015535; +79613015535,https://wa.me/79613015535?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/+79613015535,,sales@kdk161.ru,"Элеваторный переулок, 12",1,0,https://2gis.ru/rostov-on-don/firm/70000001034599977,2026-02-19,3,мебель для кухни,изготовление кухонь; кухни массив; кухни на заказ; кухни недорого; кухни под заказ; кухни ростов; кухни ростов-на-дону; кухонная мебель; кухонные гарнитуры; мебель для кухни; мебель на заказ; модульные кухни; производитель кухонь; шкафы и кухни на заказ,Мебель для кухни; Корпусная мебель; Мебель на заказ,"Кухни для Кухни, магазин",1,5,121,,ok
25,70000001048554277,Mebelform,,http://mebelform.ru; https://ok.ru/group/62327418126455; https://pinterest.com/mebelformru; https://t.me/mebelform_ru; https://vk.com/mebelform_ru; https://wa.me/79034885577?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,+79034885577; +79063261039,https://wa.me/79034885577?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A,https://t.me/mebelform_ru,https://vk.com/mebelform_ru,,"Шолохова проспект, 28а",1,0,https://2gis.ru/rostov-on-don/firm/70000001048554277,2026-02-19,3,дизайнерские кухни,дизайнерские кухни; салон кухонь,Мебель на заказ; Мягкая мебель; Мебель для кухни; Мебель для общественного питания,"Mebelform, салон дизайнерской мебели",1,5,3,,ok
26,70000001052109340,Мебельный Край,,,+79281310878,,,,,"улица Вавилова, 67в",1,0,https://2gis.ru/rostov-on-don/firm/70000001052109340,2026-02-19,3,салон кухонь,салон кухонь,Мягкая мебель; Мебель на заказ; Офисная мебель; Мебель для общественного питания; Корпусная мебель; Детская мебель; Мебель для кухни,"Мебельный Край, салон",1,3.2,1,,ok
